"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2000","2000","USD","US Dollar","0","Units","2010","2010",1067.359,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2001","2001","USD","US Dollar","0","Units","2010","2010",1254.602,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2002","2002","USD","US Dollar","0","Units","2010","2010",1287.512,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2003","2003","USD","US Dollar","0","Units","2010","2010",1390.168,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2004","2004","USD","US Dollar","0","Units","2010","2010",1384.442,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2005","2005","USD","US Dollar","0","Units","2010","2010",1583.695,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2006","2006","USD","US Dollar","0","Units","2010","2010",1721.861,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2007","2007","USD","US Dollar","0","Units","2010","2010",1737.368,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2008","2008","USD","US Dollar","0","Units","2010","2010",1680.278,"E","Estimated value"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2009","2009","USD","US Dollar","0","Units","2010","2010",1912.729,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2010","2010","USD","US Dollar","0","Units","2010","2010",1807.515,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2011","2011","USD","US Dollar","0","Units","2010","2010",1485.982,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2012","2012","USD","US Dollar","0","Units","2010","2010",1355.36,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2013","2013","USD","US Dollar","0","Units","2010","2010",1168.404,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2014","2014","USD","US Dollar","0","Units","2010","2010",1053.455,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2015","2015","USD","US Dollar","0","Units","2010","2010",1085.326,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2016","2016","USD","US Dollar","0","Units","2010","2010",1179.371,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2017","2017","USD","US Dollar","0","Units","2010","2010",1160.153,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","GRC","Greece","2018","2018","USD","US Dollar","0","Units","2010","2010",1145.238,"E","Estimated value"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1990","1990","USD","US Dollar","0","Units","2010","2010",1724.687,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1991","1991","USD","US Dollar","0","Units","2010","2010",1841.108,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1992","1992","USD","US Dollar","0","Units","2010","2010",1894.998,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1993","1993","USD","US Dollar","0","Units","2010","2010",1901.725,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1994","1994","USD","US Dollar","0","Units","2010","2010",1938.879,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1995","1995","USD","US Dollar","0","Units","2010","2010",1999.037,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1996","1996","USD","US Dollar","0","Units","2010","2010",2114.148,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1997","1997","USD","US Dollar","0","Units","2010","2010",2301.31,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1998","1998","USD","US Dollar","0","Units","2010","2010",2480.305,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","1999","1999","USD","US Dollar","0","Units","2010","2010",2630.71,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2000","2000","USD","US Dollar","0","Units","2010","2010",2758.55,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2001","2001","USD","US Dollar","0","Units","2010","2010",2911.561,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2002","2002","USD","US Dollar","0","Units","2010","2010",3183.331,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2003","2003","USD","US Dollar","0","Units","2010","2010",3265.28,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2004","2004","USD","US Dollar","0","Units","2010","2010",3360.964,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2005","2005","USD","US Dollar","0","Units","2010","2010",3471.783,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2006","2006","USD","US Dollar","0","Units","2010","2010",3566.845,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2007","2007","USD","US Dollar","0","Units","2010","2010",3746.527,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2008","2008","USD","US Dollar","0","Units","2010","2010",3907.569,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2009","2009","USD","US Dollar","0","Units","2010","2010",3992.709,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2010","2010","USD","US Dollar","0","Units","2010","2010",4043.623,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2011","2011","USD","US Dollar","0","Units","2010","2010",4143.618,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2012","2012","USD","US Dollar","0","Units","2010","2010",4277.641,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2013","2013","USD","US Dollar","0","Units","2010","2010",4350.526,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2014","2014","USD","US Dollar","0","Units","2010","2010",4494.755,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2015","2015","USD","US Dollar","0","Units","2010","2010",4662.256,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2016","2016","USD","US Dollar","0","Units","2010","2010",4675.369,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2017","2017","USD","US Dollar","0","Units","2010","2010",4785.919,"P","Provisional value"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","NOR","Norway","2018","2018","USD","US Dollar","0","Units","2010","2010",4861.636,"P","Provisional value"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1990","1990","USD","US Dollar","0","Units","2010","2010",1125.367,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1991","1991","USD","US Dollar","0","Units","2010","2010",1148.695,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1992","1992","USD","US Dollar","0","Units","2010","2010",1179.097,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1993","1993","USD","US Dollar","0","Units","2010","2010",1206.519,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1994","1994","USD","US Dollar","0","Units","2010","2010",1249.163,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1995","1995","USD","US Dollar","0","Units","2010","2010",1309.41,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1996","1996","USD","US Dollar","0","Units","2010","2010",1358.435,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1997","1997","USD","US Dollar","0","Units","2010","2010",1435.599,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1998","1998","USD","US Dollar","0","Units","2010","2010",1524.439,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","1999","1999","USD","US Dollar","0","Units","2010","2010",1640.192,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2000","2000","USD","US Dollar","0","Units","2010","2010",1685.853,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2001","2001","USD","US Dollar","0","Units","2010","2010",1739.449,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2002","2002","USD","US Dollar","0","Units","2010","2010",1840.22,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2003","2003","USD","US Dollar","0","Units","2010","2010",1910.065,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2004","2004","USD","US Dollar","0","Units","2010","2010",2042.836,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2005","2005","USD","US Dollar","0","Units","2010","2010",2082.59,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2006","2006","USD","US Dollar","0","Units","2010","2010",2157.826,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2007","2007","USD","US Dollar","0","Units","2010","2010",2276.044,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2008","2008","USD","US Dollar","0","Units","2010","2010",2355.95,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2009","2009","USD","US Dollar","0","Units","2010","2010",2416.133,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2010","2010","USD","US Dollar","0","Units","2010","2010",2467.723,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2011","2011","USD","US Dollar","0","Units","2010","2010",2566.679,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2012","2012","USD","US Dollar","0","Units","2010","2010",2501.639,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2013","2013","USD","US Dollar","0","Units","2010","2010",2527.165,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2014","2014","USD","US Dollar","0","Units","2010","2010",2566.911,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2015","2015","USD","US Dollar","0","Units","2010","2010",2666.566,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2016","2016","USD","US Dollar","0","Units","2010","2010",2738.215,"D","Difference in methodology"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2017","2017","USD","US Dollar","0","Units","2010","2010",2795.24,"D; E","Difference in methodology; Estimated value"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","AUS","Australia","2018","2018","USD","US Dollar","0","Units","2010","2010",2851.151,"D; E","Difference in methodology; Estimated value"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1990","1990","USD","US Dollar","0","Units","2010","2010",1812.333,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1991","1991","USD","US Dollar","0","Units","2010","2010",1861.8,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1992","1992","USD","US Dollar","0","Units","2010","2010",1892.3,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1993","1993","USD","US Dollar","0","Units","2010","2010",1842.171,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1994","1994","USD","US Dollar","0","Units","2010","2010",1810.26,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1995","1995","USD","US Dollar","0","Units","2010","2010",1779.749,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1996","1996","USD","US Dollar","0","Units","2010","2010",1745.407,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1997","1997","USD","US Dollar","0","Units","2010","2010",1773.807,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1998","1998","USD","US Dollar","0","Units","2010","2010",1861.746,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","1999","1999","USD","US Dollar","0","Units","2010","2010",1882.133,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2000","2000","USD","US Dollar","0","Units","2010","2010",1974.883,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2001","2001","USD","US Dollar","0","Units","2010","2010",2062.274,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2002","2002","USD","US Dollar","0","Units","2010","2010",2121.59,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2003","2003","USD","US Dollar","0","Units","2010","2010",2226.64,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2004","2004","USD","US Dollar","0","Units","2010","2010",2322.303,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2005","2005","USD","US Dollar","0","Units","2010","2010",2388.857,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2006","2006","USD","US Dollar","0","Units","2010","2010",2533.055,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2007","2007","USD","US Dollar","0","Units","2010","2010",2629.319,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2008","2008","USD","US Dollar","0","Units","2010","2010",2729.764,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2009","2009","USD","US Dollar","0","Units","2010","2010",2848.114,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2010","2010","USD","US Dollar","0","Units","2010","2010",2927.994,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2011","2011","USD","US Dollar","0","Units","2010","2010",2944.132,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2012","2012","USD","US Dollar","0","Units","2010","2010",2954.869,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2013","2013","USD","US Dollar","0","Units","2010","2010",2950.942,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2014","2014","USD","US Dollar","0","Units","2010","2010",2950.228,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2015","2015","USD","US Dollar","0","Units","2010","2010",3023.977,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2016","2016","USD","US Dollar","0","Units","2010","2010",3051.037,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","VRPPPR","Per capita, constant prices, constant PPPs, OECD base year","CAN","Canada","2017","2017","USD","US Dollar","0","Units","2010","2010",3085.367,"P","Provisional value"
